n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
8388608,524288,4742.581911,10180.872,hybrid,256,1,0.000000,0,2,13,cufft
8388608,1048576,5094.459410,10904.872,hybrid,256,1,0.000000,0,2,13,cufft
8388608,2097152,5450.985876,11584.872,hybrid,256,1,0.000000,0,2,13,cufft
8388608,4194304,5787.928238,12176.872,hybrid,256,1,0.000000,0,2,13,cufft
8388608,8388608,5958.651175,12592.872,hybrid,256,1,0.000000,0,2,13,cufft
16777216,64,1646.920335,1668.000,hybrid,64,1,0.000000,18,0,0,schoolbook
16777216,128,2059.649551,3337.998,hybrid,128,1,0.000000,0,17,0,fused
16777216,256,2915.953984,4465.476,hybrid,256,1,0.000000,0,0,16,cufft
16777216,512,3418.980734,10313.989,hybrid,160,1,0.000000,0,17,0,fused
16777216,1024,3900.777011,6660.978,hybrid,256,1,0.000000,0,16,0,fused
16777216,2048,4389.708790,8161.454,hybrid,256,1,0.000000,0,15,1,fused
16777216,4096,4682.102199,10209.407,hybrid,256,1,0.000000,0,2,14,cufft
16777216,8192,5294.687207,11745.064,hybrid,256,1,0.000000,0,2,14,cufft
16777216,16384,6179.752281,13280.376,hybrid,256,1,0.000000,0,2,14,cufft
16777216,32768,6636.068935,14815.001,hybrid,256,1,0.000000,0,2,14,cufft
16777216,65536,7247.257677,16348.251,hybrid,256,1,0.000000,0,2,14,cufft
16777216,131072,8035.848771,17366.743,hybrid,256,1,0.000000,0,2,14,cufft
16777216,262144,8718.191173,18891.743,hybrid,256,1,0.000000,0,2,14,cufft
16777216,524288,9348.756560,20405.743,hybrid,256,1,0.000000,0,2,14,cufft
16777216,1048576,10066.390410,21897.743,hybrid,256,1,0.000000,0,2,14,cufft
16777216,2097152,10814.840276,23345.743,hybrid,256,1,0.000000,0,2,14,cufft
16777216,4194304,11598.022158,24705.743,hybrid,256,1,0.000000,0,2,14,cufft
16777216,8388608,12123.965647,25889.743,hybrid,256,1,0.000000,0,2,14,cufft
16777216,16777216,12480.184544,26721.743,hybrid,256,1,0.000000,0,2,14,cufft
33554432,64,3323.376242,3336.000,hybrid,64,1,0.000000,19,0,0,schoolbook
33554432,128,4155.910117,6675.998,hybrid,128,1,0.000000,0,18,0,fused
33554432,256,5833.692503,8930.976,hybrid,256,1,0.000000,0,0,17,cufft
33554432,512,6860.002668,20627.989,hybrid,160,1,0.000000,0,18,0,fused
33554432,1024,7803.466326,13321.978,hybrid,256,1,0.000000,0,17,0,fused
33554432,2048,8739.980794,16322.954,hybrid,256,1,0.000000,0,16,1,fused
33554432,4096,9316.365543,20419.157,hybrid,256,1,0.000000,0,2,15,cufft
33554432,8192,10510.542619,23490.814,hybrid,256,1,0.000000,0,2,15,cufft
33554432,16384,12137.504178,26562.126,hybrid,256,1,0.000000,0,2,15,cufft
33554432,32768,13153.641716,29632.751,hybrid,256,1,0.000000,0,2,15,cufft
33554432,65536,14366.392158,32702.001,hybrid,256,1,0.000000,0,2,15,cufft
33554432,131072,15933.262291,34744.486,hybrid,256,1,0.000000,0,2,15,cufft
33554432,262144,17283.884597,37805.486,hybrid,256,1,0.000000,0,2,15,cufft
33554432,524288,18545.497036,40855.486,hybrid,256,1,0.000000,0,2,15,cufft
33554432,1048576,19991.675454,43883.486,hybrid,256,1,0.000000,0,2,15,cufft
33554432,2097152,21529.458998,46867.486,hybrid,256,1,0.000000,0,2,15,cufft
33554432,4194304,23205.248402,49763.486,hybrid,256,1,0.000000,0,2,15,cufft
33554432,8388608,24432.419066,52483.486,hybrid,256,1,0.000000,0,2,15,cufft
33554432,16777216,25560.957561,54851.486,hybrid,256,1,0.000000,0,2,15,cufft
33554432,33554432,26304.139101,56515.486,hybrid,256,1,0.000000,0,2,15,cufft
