n,k,B,time_ms,cost_model_pick
16384,200,24,347.410,32
16384,200,32,313.689,32
16384,200,48,340.321,32
16384,200,64,359.980,32
16384,200,96,413.899,32
16384,200,128,496.220,32
16384,200,192,707.640,32
16384,240,8,367.307,32
16384,240,16,346.591,32
16384,240,24,378.616,32
16384,240,32,340.243,32
16384,240,48,373.820,32
16384,240,64,372.778,32
16384,240,96,445.864,32
16384,240,128,510.062,32
16384,240,192,707.581,32
16384,260,8,371.371,32
16384,260,16,350.462,32
16384,260,24,404.133,32
16384,260,32,347.096,32
16384,260,48,405.782,32
16384,260,64,381.475,32
16384,260,96,474.506,32
16384,260,128,536.210,32
16384,260,192,736.438,32
16384,260,256,945.967,32
16384,275,8,370.607,32
16384,275,16,350.531,32
16384,275,24,404.222,32
16384,275,32,345.212,32
16384,275,48,401.449,32
16384,275,64,379.967,32
16384,275,96,474.943,32
16384,275,128,536.646,32
16384,275,192,736.996,32
16384,275,256,945.535,32
16384,290,8,379.939,32
16384,290,16,365.669,32
16384,290,24,399.860,32
16384,290,32,358.189,32
16384,290,48,398.437,32
16384,290,64,393.203,32
16384,290,96,467.191,32
16384,290,128,549.017,32
16384,290,192,726.908,32
16384,290,256,940.659,32
16384,310,8,383.037,32
16384,310,16,362.299,32
16384,310,24,395.812,32
16384,310,32,356.285,32
16384,310,48,393.298,32
16384,310,64,392.841,32
16384,310,96,465.887,32
16384,310,128,548.912,32
16384,310,192,727.901,32
16384,310,256,940.765,32
16384,350,8,402.233,32
16384,350,16,386.366,32
16384,350,24,410.232,32
16384,350,32,379.879,32
16384,350,48,403.292,32
16384,350,64,414.731,32
16384,350,96,477.985,32
16384,350,128,574.624,32
16384,350,192,757.973,32
16384,350,256,957.911,32
16384,400,8,418.409,32
16384,400,16,399.445,32
16384,400,24,437.240,32
16384,400,32,394.332,32
16384,400,48,423.526,32
16384,400,64,427.089,32
16384,400,96,504.552,32
16384,400,128,582.879,32
16384,400,192,787.704,32
16384,400,256,978.335,32
16384,823,8,539.113,32
16384,823,16,510.798,32
16384,823,24,557.848,32
16384,823,32,498.916,32
16384,823,48,548.039,32
16384,823,64,522.142,32
16384,823,96,608.607,32
16384,823,128,694.281,32
16384,823,192,891.353,32
16384,823,256,1105.564,32
16384,1355,8,567.611,32
16384,1355,16,537.420,32
16384,1355,24,624.462,32
16384,1355,32,529.946,32
16384,1355,48,619.316,32
16384,1355,64,556.694,32
16384,1355,96,678.678,32
16384,1355,128,726.315,32
16384,1355,192,983.499,32
16384,1355,256,1134.889,32
16384,2231,8,588.345,32
16384,2231,16,563.945,32
16384,2231,24,640.448,32
16384,2231,32,555.804,32
16384,2231,48,635.202,32
16384,2231,64,583.573,32
16384,2231,96,703.314,32
16384,2231,128,756.476,32
16384,2231,192,999.005,32
16384,2231,256,1166.022,32
16384,3672,8,657.763,32
16384,3672,16,638.624,32
16384,3672,24,666.107,32
16384,3672,32,624.347,32
16384,3672,48,660.295,32
16384,3672,64,658.683,32
16384,3672,96,730.332,32
16384,3672,128,828.108,32
16384,3672,192,1032.703,32
16384,3672,256,1237.168,32
16384,6046,8,684.869,32
16384,6046,16,658.983,32
16384,6046,24,669.869,32
16384,6046,32,648.628,32
16384,6046,48,665.790,32
16384,6046,64,685.991,32
16384,6046,96,743.720,32
16384,6046,128,851.932,32
16384,6046,192,1044.457,32
16384,6046,256,1277.165,32
16384,9952,8,708.591,32
16384,9952,16,687.767,32
16384,9952,24,789.948,32
16384,9952,32,681.216,32
16384,9952,48,784.776,32
16384,9952,64,719.970,32
16384,9952,96,861.887,32
16384,9952,128,876.997,32
16384,9952,192,1160.355,32
16384,9952,256,1295.810,32
16384,16384,8,734.590,32
16384,16384,16,705.709,32
16384,16384,24,800.088,32
16384,16384,32,700.776,32
16384,16384,48,791.033,32
16384,16384,64,736.690,32
16384,16384,96,865.668,32
16384,16384,128,888.748,32
16384,16384,192,1159.082,32
16384,16384,256,1294.962,32
32768,200,8,681.193,32
32768,200,16,637.413,32
32768,200,24,690.138,32
32768,200,32,630.330,32
32768,200,48,690.764,32
32768,200,64,715.677,32
32768,200,96,838.145,32
32768,200,128,1006.840,32
32768,200,192,1411.437,32
32768,240,8,734.353,32
32768,240,16,687.362,32
32768,240,24,752.194,32
32768,240,32,675.266,32
32768,240,48,746.970,32
32768,240,64,748.676,32
32768,240,96,901.614,32
32768,240,128,1032.507,32
32768,240,192,1426.773,32
32768,260,8,745.065,32
32768,260,16,701.447,32
32768,260,24,805.854,32
32768,260,32,694.485,32
32768,260,48,801.468,32
32768,260,64,765.182,32
32768,260,96,952.817,32
32768,260,128,1086.759,32
32768,260,192,1487.962,32
32768,260,256,1909.851,32
32768,275,8,746.391,32
32768,275,16,703.701,32
32768,275,24,808.184,32
32768,275,32,691.632,32
2768,275,48,809.863,32
32768,275,64,764.698,32
32768,275,96,957.953,32
32768,275,128,1088.162,32
